Dato,Tid,NO2,NOx,CO,O3,PM10,PM25,SO2
25-07, 22,    28.70,    51.62,     0.31,    51.25,    30.65,    15.90,     0.84,
25-07, 21,    28.46,    43.32,     0.33,    58.79,    30.75,    16.20,     0.61,
25-07, 20,    34.53,    55.15,     0.37,    63.31,    36.30,    17.95,     0.67,
25-07, 19,    41.83,    83.40,     0.32,    57.18,    34.00,    17.30,     1.35,
25-07, 18,    30.68,    43.13,     0.34,    64.84,    31.40,    16.50,     0.64,
25-07, 17,    24.19,    39.49,     0.30,    71.52,    28.40,    15.00,     0.60,
25-07, 16,    26.90,    46.08,     0.31,    68.75,    24.05,    11.85,     0.78,
25-07, 15,    26.09,    46.77,     0.31,    68.40,    28.05,    13.10,     0.71,
25-07, 14,    25.90,    51.31,     0.30,    68.24,    27.90,    12.65,     0.78,
25-07, 13,    39.17,    86.49,     0.38,    60.02,    36.20,    14.45,     1.33,
25-07, 12,    46.14,    83.84,     0.34,    60.29,    39.25,    17.25,     1.11,
25-07, 11,    54.63,   109.44,     0.37,    56.66,    52.80,    20.95,     1.38,
25-07, 10,    75.93,   192.40,     0.46,    39.13,    54.85,    19.35,     3.19,
25-07,  9,    53.08,   107.14,     0.30,    47.70,    33.30,    12.95,     2.00,
25-07,  8,    50.71,    96.86,     0.29,    45.90,    30.10,    11.35,     1.53,
25-07,  7,    44.30,   105.10,     0.29,    40.11,    31.95,    11.90,     1.58,
25-07,  6,    64.05,   136.54,     0.40,    30.95,    41.35,    14.25,     2.19,
25-07,  5,    49.81,    93.11,     0.32,    32.48,    35.05,    11.75,     1.29,
25-07,  4,    30.25,    54.16,     0.23,    37.16,    47.15,    10.60,     0.71,
25-07,  3,    30.69,    39.56,     0.20,    36.04,    19.15,     9.80,     0.37,
25-07,  2,    21.96,    26.93,     0.20,    47.79,    16.20,     9.15,     0.11,
25-07,  1,    19.20,    26.04,     0.18,    55.28,    14.15,     7.70,     0.13,
25-07,  0,    25.69,    39.57,     0.21,    50.87,    16.65,     9.30,     0.37,
24-07, 23,    32.49,    47.52,     0.26,    50.53,    22.80,    11.00,     0.37,
24-07, 22,    36.57,    55.66,     0.37,    52.97,    23.60,    11.85,     0.53,
24-07, 21,    40.17,    59.89,     0.31,    56.18,    25.50,    12.00,     0.60,
24-07, 20,    36.15,    59.37,     0.34,    60.48,    40.00,    15.10,     0.72,
24-07, 19,    42.17,    77.50,     0.40,    57.14,    44.00,    13.85,     1.24,
24-07, 18,    28.39,    50.34,     0.26,    67.53,    26.50,    10.15,     1.01,
24-07, 17,    33.69,    62.13,     0.25,    63.08,    24.15,     9.55,     1.29,
24-07, 16,    36.86,    75.86,     0.32,    57.84,    27.65,     9.40,     1.46,
24-07, 15,    29.18,    53.49,     0.27,    70.83,    25.25,     8.65,     1.15,
24-07, 14,    42.28,    86.71,     0.29,    64.87,    31.30,     9.80,     1.49,
24-07, 13,    24.14,    40.42,     0.22,    81.32,    19.45,     7.75,     0.94,
24-07, 12,    33.01,    63.04,     0.27,    71.94,    17.40,     9.00,     0.97,
24-07, 11,    32.22,    58.00,     0.25,    64.50,    29.15,    10.30,     0.94,
24-07, 10,    36.62,    64.11,     0.27,    59.28,    19.25,     9.10,     1.01,
24-07,  9,    33.81,    59.08,     0.21,    56.77,    17.60,     8.10,     0.84,
24-07,  8,    29.64,    48.48,     0.21,    52.26,    18.45,     8.95,     0.62,
24-07,  7,    20.74,    31.85,     0.19,    56.31,    16.55,     8.00,     0.54,
24-07,  6,    15.06,    20.21,     0.15,    62.58,    14.40,     6.85,     0.51,
24-07,  5,    41.19,    66.36,     0.19,    40.95,    73.40,    13.75,     1.25,
24-07,  4,    46.23,    83.90,     0.23,    40.92,   108.20,    15.25,     1.60,
24-07,  3,    57.17,    98.43,     0.26,    44.24,    24.65,     9.95,     1.56,
24-07,  2,    54.75,    93.82,     0.25,    32.16,    23.85,    11.55,     1.39,
24-07,  1,    48.39,    84.76,     0.29,    39.45,    17.20,     8.50,     1.18,
24-07,  0,    44.62,    78.90,     0.31,    38.48,    27.70,    12.80,     0.89,
23-07, 23,    63.88,   101.70,     0.26,    26.82,    31.65,    14.65,     1.24,
23-07, 22,    43.85,    83.15,     0.31,    53.28,    29.75,     9.20,     1.11,
23-07, 21,    42.05,    73.14,     0.46,    50.19,    40.10,    12.15,     1.04,
23-07, 20,    47.80,    70.41,     0.36,    53.65,    33.25,    11.45,     0.91,
23-07, 19,    45.52,    70.44,     0.34,    57.70,    35.35,    11.80,     1.14,
23-07, 18,    32.05,    53.97,     0.25,    75.01,    34.20,    11.20,     0.98,
23-07, 17,    38.47,    63.30,     0.30,    70.12,    27.00,    10.60,     1.25,
23-07, 16,    40.29,    68.26,     0.31,    72.81,    22.30,     9.35,     1.35,
23-07, 15,    36.42,    55.92,     0.30,    78.26,    28.30,    10.65,     1.36,
23-07, 14,    40.69,    68.41,     0.29,    73.24,    34.15,    11.55,     1.25,
23-07, 13,    53.64,    97.45,     0.33,    62.10,    39.80,    13.80,     2.02,
23-07, 12,    48.74,   102.70,     0.34,    54.58,    33.25,    13.30,     2.39,
23-07, 11,    78.61,   187.19,     0.50,    32.50,    40.65,    13.15,     3.78,
23-07, 10,    89.71,   223.49,     0.45,    17.37,    32.25,    14.95,     4.98,
23-07,  9,    71.99,   195.52,     0.37,    18.13,    35.95,    14.20,     4.27,
23-07,  8,    40.18,    83.05,     0.31,    37.10,    26.40,    10.85,     2.04,
23-07,  7,    30.99,    57.36,     0.28,    43.77,    28.95,    14.55,     1.31,
23-07,  6,    40.64,    75.82,     0.23,    38.52,    32.00,    11.15,     1.59,
23-07,  5,    34.54,    57.42,     0.24,    43.26,    25.30,     9.80,     1.36,
23-07,  4,    47.48,    85.74,     0.27,    32.64,    31.40,    10.55,     0.99,
23-07,  3,    63.12,   115.41,     0.34,    10.82,    32.50,    13.70,     1.86,
23-07,  2,    64.38,   133.46,     0.46,     8.20,    35.65,    15.35,     2.23,
23-07,  1,    69.45,   145.91,     0.45,     9.33,    35.20,    16.10,     2.50,
23-07,  0,    82.33,   176.51,     0.82,     5.30,    46.20,    19.20,     2.81,
22-07, 23,    90.47,   209.32,     0.93,     2.96,    63.80,    22.00,     3.44,
22-07, 22,    91.17,   218.14,     0.86,    14.16,    74.05,    18.15,     3.96,
22-07, 21,    79.43,   182.44,     0.80,    19.10,    35.30,    12.90,     3.35,
