Dato,Tid,NO2,NOx,CO,O3,PM10,PM25,SO2
15-07, 14,    31.86,    78.33,     0.28,    43.79,    33.75,    10.10,     1.18,
15-07, 13,    37.89,    87.18,     0.26,    42.47,    34.30,    11.70,     1.22,
15-07, 12,    28.87,    87.03,     0.27,    42.77,    38.70,    10.25,     1.43,
15-07, 11,    32.00,    88.95,     0.22,    41.69,    32.45,    10.45,     1.29,
15-07, 10,    35.42,    96.64,     0.26,    39.20,    34.65,    11.40,     1.46,
15-07,  9,    34.86,    80.33,     0.24,    40.98,    35.60,    11.10,     1.08,
15-07,  8,    36.42,    88.53,     0.24,    36.29,    31.60,    10.55,     1.22,
15-07,  7,    38.80,    90.82,     0.25,    30.27,    33.80,    10.45,     1.33,
15-07,  6,    59.09,   166.42,     0.30,    18.44,    40.15,    13.30,     2.19,
15-07,  5,    52.29,   141.39,     0.34,    17.00,    31.20,     9.25,     2.54,
15-07,  4,    28.14,    50.34,     0.21,    26.57,    17.45,     7.95,     0.87,
15-07,  3,    21.32,    33.52,     0.17,    32.44,    16.25,     8.10,     2.04,
15-07,  2,    17.69,    32.58,     0.27,    29.70,    19.80,     9.15,     0.28,
15-07,  1,    12.04,    20.02,     0.17,    35.93,    19.65,     8.15,     0.10,
15-07,  0,    19.90,    38.30,     0.23,    34.26,    19.40,     8.40,     0.31,
14-07, 23,    19.06,    31.78,     0.19,    37.41,    18.60,     8.70,     0.07,
14-07, 22,    27.53,    58.83,     0.30,    36.64,    19.70,     7.80,     0.50,
14-07, 21,    31.59,    62.11,     0.31,    37.55,    17.10,     7.35,     0.72,
14-07, 20,    32.18,    58.17,     0.31,    41.09,    19.95,     9.30,     0.60,
14-07, 19,    31.56,    62.28,     0.34,    39.14,    20.85,     8.45,     0.72,
14-07, 18,    29.86,    63.17,     0.29,    40.92,    25.70,     8.55,     0.84,
14-07, 17,    46.26,    97.99,     0.38,    31.54,    32.70,    10.70,     1.28,
14-07, 16,    44.49,    88.10,     0.35,    30.92,    31.50,     9.90,     1.25,
14-07, 15,    40.37,    77.08,     0.31,    36.64,    33.00,     9.60,     1.08,
14-07, 14,    49.02,   103.25,     0.31,    34.10,    36.60,     9.65,     1.73,
14-07, 13,    52.36,   124.60,     0.30,    32.69,    38.10,    10.60,     2.22,
14-07, 12,    51.04,   113.93,     0.26,    35.40,    34.15,     8.25,     2.09,
14-07, 11,    42.38,   111.64,     0.25,    33.80,    29.85,     8.40,     1.99,
14-07, 10,    46.51,   121.06,     0.24,    32.46,    31.45,     9.10,     2.22,
14-07,  9,    41.64,   110.46,     0.26,    33.29,    32.90,     8.50,     2.09,
14-07,  8,    29.54,    92.99,     0.23,    34.17,    29.20,     6.00,     1.93,
14-07,  7,    44.98,   132.03,     0.24,    24.32,    41.25,     8.75,     2.53,
14-07,  6,    65.15,   178.85,     0.31,    13.35,    41.50,    12.95,     3.14,
14-07,  5,    64.82,   190.90,     0.33,    12.86,    43.05,    11.00,     3.89,
14-07,  4,    50.23,   120.04,     0.27,    11.58,    53.90,    12.70,     2.00,
14-07,  3,    20.27,    35.46,     0.17,    34.88,    17.10,     4.15,     0.58,
14-07,  2,    12.36,    20.58,     0.14,    41.76,    12.60,     4.30,     0.38,
14-07,  1,     9.92,    15.26,     0.14,    48.18,    12.85,     5.15,     0.24,
14-07,  0,    11.09,    19.11,     0.14,    47.93,    13.15,     6.00,     0.35,
13-07, 23,    19.20,    31.47,     0.18,    45.82,    19.30,    13.65,     0.40,
13-07, 22,    35.67,    73.42,     0.30,    36.53,    29.75,     4.65,     1.07,
13-07, 21,    35.52,    67.66,     0.35,    42.07,    31.80,     8.35,     1.08,
13-07, 20,    35.65,    64.41,     0.34,    47.83,    21.10,     9.20,     0.88,
13-07, 19,    37.50,    76.73,     0.34,    49.57,    24.95,    10.35,     1.25,
13-07, 18,    31.83,    63.18,     0.29,    51.49,    25.55,    10.20,     0.48,
13-07, 17,    33.78,    67.62,     0.27,    53.11,    30.70,    10.70,     0.97,
13-07, 16,    35.96,    70.64,     0.29,    48.89,    26.50,     9.15,     1.02,
13-07, 15,    37.77,    85.63,     0.30,    48.09,    27.15,     7.60,     1.55,
13-07, 14,    50.88,   115.85,     0.29,    38.82,    34.40,    11.80,     2.10,
13-07, 13,    52.71,   126.00,     0.26,    42.44,    31.30,     7.10,     2.06,
13-07, 12,    51.00,   123.98,     0.26,    41.67,    27.60,     7.85,     2.43,
13-07, 11,    49.99,   119.61,     0.24,    40.22,    27.90,     9.15,     2.36,
13-07, 10,    53.16,   126.49,     0.30,    40.34,    30.20,     9.60,     2.40,
13-07,  9,    43.79,   105.82,     0.25,    41.04,    27.20,     7.90,     2.20,
13-07,  8,    32.82,    81.60,     0.22,    42.82,    25.40,     7.05,     1.33,
13-07,  7,    35.95,    87.72,     0.23,    39.01,    24.25,     7.35,     1.60,
13-07,  6,    44.05,   109.06,     0.26,    31.08,    35.25,     9.55,     1.77,
13-07,  5,    41.25,   105.52,     0.27,    24.68,    29.15,     9.00,     1.89,
13-07,  4,    35.46,    79.35,     0.27,    25.00,    19.95,     7.10,     1.25,
13-07,  3,    18.65,    32.01,     0.17,    36.03,    14.95,     6.00,     0.47,
13-07,  2,    10.55,    17.58,     0.15,    40.94,    12.05,     5.45,     0.16,
13-07,  1,    11.28,    20.57,     0.16,    39.72,    11.95,     6.05,     0.35,
13-07,  0,    17.88,    31.92,     0.17,    36.10,    12.80,     6.40,     0.01,
12-07, 23,    22.54,    43.95,     0.19,    35.59,    15.85,     6.15,     0.82,
12-07, 22,    31.05,    64.81,     0.23,    34.14,    17.05,     6.35,     1.04,
12-07, 21,    26.84,    57.33,     0.25,    38.67,    18.45,     9.20,     0.97,
12-07, 20,    28.14,    60.35,     0.24,    41.33,    23.00,    10.75,     1.15,
12-07, 19,    24.61,    54.15,     0.30,    45.39,    24.15,    10.35,     1.08,
12-07, 18,    29.86,    64.55,     0.28,    43.34,    23.20,    10.50,     1.16,
12-07, 17,    30.78,    62.43,     0.29,    46.87,    24.00,     9.60,     1.19,
12-07, 16,    29.74,    67.82,     0.28,    46.11,    24.70,     8.55,     1.25,
12-07, 15,    36.41,    87.50,     0.31,    40.10,    16.85,     7.10,     1.58,
12-07, 14,    44.36,   119.57,     0.39,    30.34,    39.40,    13.10,     2.17,
12-07, 13,    39.55,   100.76,     0.33,    34.08,    31.15,     9.35,     1.85,
12-07, 12,    46.14,   108.68,     0.30,    30.93,    28.35,    13.50,     1.89,
12-07, 11,    43.20,    97.58,     0.29,    35.89,    37.55,    12.60,     1.82,
12-07, 10,    35.31,    88.52,     0.25,    34.50,    28.00,    10.60,     1.70,
12-07,  9,    49.93,   127.40,     0.27,    27.96,    34.25,    11.10,     2.33,
12-07,  8,    39.87,   104.17,     0.25,    26.27,    35.10,    11.50,     2.07,
12-07,  7,    43.82,   118.90,     0.29,    23.47,    41.70,    10.55,     2.29,
12-07,  6,    49.29,   139.18,     0.29,    22.20,    25.00,    14.30,     2.73,
12-07,  5,    44.91,   101.65,     0.26,    23.02,    18.40,    10.95,     1.96,
12-07,  4,    23.77,    42.22,     0.19,    36.42,    20.05,     9.45,     0.89,
12-07,  3,    14.44,    22.74,     0.19,    41.66,    16.45,     7.85,     0.67,
12-07,  2,     8.61,    12.70,     0.15,    53.87,    13.90,     6.65,     0.57,
12-07,  1,     9.61,    13.73,     0.15,    55.15,    13.30,     6.60,     0.55,
12-07,  0,    12.07,    18.61,     0.17,    54.32,    14.15,     6.95,     0.57,
11-07, 23,    17.68,    26.13,     0.17,    49.79,    17.45,     7.45,     0.64,
11-07, 22,    22.27,    33.76,     0.25,    47.08,    18.05,     7.70,     0.61,
11-07, 21,    36.46,    58.19,     0.25,    43.91,    19.90,     8.95,     0.92,
11-07, 20,    35.22,    58.99,     0.20,    42.78,    20.20,     9.20,     0.92,
11-07, 19,    27.82,    49.55,     0.21,    44.56,    27.65,    10.15,     0.89,
11-07, 18,    28.06,    58.08,     0.22,    45.72,    32.15,    11.85,     1.18,
11-07, 17,    26.37,    54.68,     0.21,    53.29,    30.65,    12.30,     1.04,
11-07, 16,    25.29,    50.68,     0.24,    55.16,    31.55,    11.90,     0.89,
11-07, 15,    31.85,    75.10,     0.26,    53.45,    38.75,    13.05,     1.38,
11-07, 14,    38.63,    83.59,     0.31,    46.50,    37.15,    13.85,     1.43,
11-07, 13,    49.43,   109.64,     0.29,    42.16,    36.60,    14.50,     1.52,
11-07, 12,    36.46,    90.46,     0.23,    43.58,    34.15,    12.10,     1.60,
11-07, 11,    35.98,    84.35,     0.25,    43.46,    35.35,    11.50,     1.49,
11-07, 10,    37.64,    87.72,     0.23,    38.30,    27.60,    10.95,     1.53,
11-07,  9,    36.72,   102.47,     0.23,    31.43,    28.80,    10.75,     1.65,
11-07,  8,    33.51,    85.55,     0.25,    27.30,    26.10,     9.95,     1.48,
11-07,  7,    50.37,   131.64,     0.35,    21.72,    33.15,    10.45,     2.09,
11-07,  6,    46.05,   115.24,     0.30,    17.41,    19.65,    12.25,     2.00,
11-07,  5,    48.50,   109.64,     0.31,    15.00,    15.45,    10.20,     2.10,
11-07,  4,    31.95,    42.87,     0.18,    43.04,    10.55,     7.00,     0.60,
11-07,  3,    19.23,    27.35,     0.19,    40.59,     6.75,     6.05,     0.44,
11-07,  2,    24.33,    31.74,     0.19,    27.22,     6.35,     4.95,     0.41,
11-07,  1,    29.50,    52.36,     0.23,    13.39,    10.10,     7.45,     0.80,
11-07,  0,    43.88,    87.93,     0.24,     7.80,    12.70,     8.35,     1.25,
10-07, 23,    41.00,    80.37,     0.30,    10.68,    18.05,    11.70,     1.21,
10-07, 22,    48.09,    87.80,     0.40,     9.84,    17.55,    12.10,     1.08,
10-07, 21,    52.48,   113.83,     0.48,     6.52,    18.20,     9.45,     1.55,
10-07, 20,    50.57,   109.23,     0.39,    12.72,    18.20,    12.95,     1.55,
10-07, 19,    46.82,   103.27,     0.37,    13.56,    27.05,    13.00,     1.38,
10-07, 18,    31.33,    70.58,     0.31,    26.13,    22.15,    10.20,     1.02,
10-07, 17,    28.75,    69.62,     0.34,    28.84,    22.45,    11.55,     1.02,
10-07, 16,    27.47,    73.50,     0.35,    27.42,    29.45,    12.35,     1.02,
10-07, 15,    26.37,    71.55,     0.34,    26.34,    21.20,    10.55,     1.11,
10-07, 14,    28.23,    86.78,     0.38,    21.42,    23.35,    13.25,     1.49,
10-07, 13,    30.52,    81.97,     0.37,    18.36,    22.55,    13.85,     1.31,
10-07, 12,    29.01,    81.03,     0.31,    16.67,    16.70,    12.55,     1.14,
10-07, 11,    28.50,    82.55,     0.33,    14.66,    17.80,    12.35,     1.31,
10-07, 10,    37.03,    98.27,     0.36,    13.20,    23.10,    15.80,     1.63,
10-07,  9,    36.27,    84.99,     0.35,    16.29,    20.25,    13.90,     1.36,
10-07,  8,    26.21,    49.38,     0.25,    25.72,    16.20,    11.95,     0.60,
10-07,  7,    18.23,    29.64,     0.22,    36.42,    10.45,     6.30,     0.31,
10-07,  6,    11.46,    16.75,     0.21,    46.54,    11.30,     5.95,     0.21,
10-07,  5,    18.41,    24.99,     0.18,    42.01,    16.95,     7.25,     0.37,
10-07,  4,    12.88,    17.50,     0.16,    53.80,    14.85,     5.80,     0.23,
10-07,  3,    24.37,    38.77,     0.21,    38.85,    16.60,     7.30,     0.47,
10-07,  2,    26.07,    56.78,     0.25,    33.36,    19.50,     7.45,     0.80,
10-07,  1,    18.14,    43.83,     0.29,    37.44,    16.65,     7.10,     0.53,
10-07,  0,    24.90,    53.59,     0.23,    37.79,    19.05,     7.50,     0.84,
09-07, 23,    27.60,    56.81,     0.35,    32.53,    22.00,     9.95,     0.87,
09-07, 22,    29.72,    66.66,     0.31,    32.60,    22.30,     8.50,     0.88,
09-07, 21,    38.58,    85.11,     0.35,    30.10,    27.20,    10.90,     1.26,
09-07, 20,    25.16,    48.74,     0.27,    43.49,    21.25,     9.65,     0.85,
09-07, 19,    21.07,    46.26,     0.23,    47.41,    30.30,     8.55,     0.78,
09-07, 18,    17.00,    43.02,     0.24,    48.15,    24.00,     7.95,     0.80,
09-07, 17,    14.71,    33.36,     0.21,    53.30,    21.45,     7.40,     0.57,
09-07, 16,    20.60,    46.92,     0.24,    52.04,    21.15,     6.75,     0.80,
09-07, 15,    20.38,    48.98,     0.19,    52.85,    19.25,     6.10,     0.97,
09-07, 14,    21.00,    45.26,     0.23,    54.29,    21.90,     6.55,     0.80,
09-07, 13,    21.66,    49.28,     0.22,    56.79,    16.15,     6.35,     0.78,
09-07, 12,    29.88,    68.98,     0.26,    52.50,    26.50,     6.25,     1.11,
09-07, 11,    27.50,    64.38,     0.28,    51.22,    15.85,     6.00,     1.12,
09-07, 10,    26.61,    62.04,     0.25,    46.90,    15.25,     6.75,     0.98,
09-07,  9,    24.49,    55.36,     0.23,    43.82,    16.00,     6.45,     0.89,
09-07,  8,    17.92,    39.29,     0.19,    45.86,    11.95,     7.05,     0.68,
09-07,  7,    25.23,    45.22,     0.19,    41.22,    12.75,     8.45,     0.65,
09-07,  6,    35.74,    70.39,     0.24,    33.40,    15.55,     8.65,     1.19,
09-07,  5,    26.65,    50.69,     0.21,    39.74,    12.45,     7.85,     0.77,
09-07,  4,    25.79,    46.88,     0.21,    44.72,    12.35,     7.50,     0.80,
09-07,  3,    31.01,    60.57,     0.19,    47.94,     8.95,     5.95,     1.05,
09-07,  2,    18.32,    29.88,     0.21,    63.33,     7.65,     5.15,     0.57,
09-07,  1,    28.21,    59.23,     0.25,    47.81,    14.35,     8.85,     0.99,
09-07,  0,    42.97,    85.95,     0.25,    41.13,    14.80,    10.45,     1.33,
08-07, 23,    69.37,   141.07,     0.45,    32.19,    16.75,    11.05,     1.96,
08-07, 22,    72.75,   142.09,     0.48,    31.04,    15.70,    10.50,     2.19,
08-07, 21,    62.02,   105.04,     0.37,    40.08,    16.10,    11.75,     1.35,
08-07, 20,    50.87,    88.76,     0.40,    48.39,    20.50,    15.05,     1.04,
08-07, 19,    64.65,   114.05,     0.52,    45.24,    25.10,    17.50,     1.38,
08-07, 18,    50.95,    80.71,     0.38,    61.35,    28.75,    17.50,     1.07,
08-07, 17,    52.09,    86.58,     0.34,    61.97,    29.80,    14.50,     1.16,
08-07, 16,    44.41,    76.37,     0.30,    70.91,    29.50,    11.90,     1.25,
08-07, 15,    47.54,    87.08,     0.33,    72.75,    32.45,    13.20,     1.52,
08-07, 14,    49.10,    87.09,     0.35,    73.66,    36.80,    14.00,     1.51,
08-07, 13,    47.44,    97.16,     0.33,    55.20,    35.95,    11.35,     1.59,
08-07, 12,    58.41,   114.78,     0.33,    48.93,    41.55,    11.25,     1.87,
08-07, 11,    68.70,   137.08,     0.32,    40.75,    32.25,    11.50,     2.23,
08-07, 10,    47.63,    95.08,     0.27,    49.26,    29.40,    11.90,     1.49,
08-07,  9,    46.90,   106.06,     0.27,    41.16,    33.65,    11.20,     1.82,
08-07,  8,    51.69,   124.56,     0.30,    35.36,    40.00,    12.80,     1.99,
08-07,  7,    51.57,   116.27,     0.27,    33.92,    38.65,    12.75,     1.86,
08-07,  6,    55.76,   130.53,     0.27,    29.34,    36.95,    11.90,     2.10,
08-07,  5,    61.74,   142.88,     0.31,    26.78,    38.95,    11.65,     2.41,
08-07,  4,    36.83,    57.97,     0.22,    42.83,    28.20,    10.10,     0.68,
08-07,  3,    26.06,    37.42,     0.21,    52.85,    21.45,     8.25,     0.51,
08-07,  2,    20.32,    31.62,     0.19,    58.98,    19.40,     6.95,     1.19,
08-07,  1,    17.36,    28.82,     0.22,    59.45,    17.45,     7.60,     0.31,
08-07,  0,    33.82,    61.48,     0.24,    54.70,    23.00,     9.40,     0.60,
07-07, 23,    42.25,    75.72,     0.26,    49.67,    26.85,     9.70,     0.89,
07-07, 22,    40.97,    79.10,     0.30,    47.96,    24.00,     9.50,     0.92,
07-07, 21,    39.50,    72.99,     0.33,    44.07,    27.50,    11.35,     1.11,
07-07, 20,    38.00,    68.09,     0.34,    41.28,    30.25,    11.95,     0.75,
07-07, 19,    42.62,    84.38,     0.34,    41.94,    32.25,    12.00,     1.05,
07-07, 18,    31.56,    62.57,     0.28,    48.98,    26.60,     9.85,     0.81,
07-07, 17,    43.67,    94.33,     0.30,    46.37,    32.75,    10.25,     1.26,
07-07, 16,    33.06,    71.21,     0.31,    47.75,    30.90,     8.55,     1.07,
07-07, 15,    31.00,    77.80,     0.29,    45.55,    34.20,     7.85,     1.18,
07-07, 14,    32.98,    77.32,     0.27,    47.08,    27.35,     7.75,     1.16,
07-07, 13,    30.02,    72.47,     0.21,    48.48,    24.90,     7.05,     1.02,
07-07, 12,    43.66,   114.52,     0.25,    41.02,    32.45,     8.20,     1.87,
07-07, 11,    39.56,   106.22,     0.25,    42.62,    30.85,     9.65,     1.93,
07-07, 10,    35.61,    92.70,     0.25,    42.02,    23.70,     8.00,     1.62,
07-07,  9,    35.17,    85.00,     0.23,    41.03,    23.90,     7.75,     1.38,
07-07,  8,    27.91,    66.31,     0.19,    44.17,    25.65,     7.50,     1.24,
07-07,  7,    30.47,    71.75,     0.19,    40.00,    23.20,     6.45,     1.14,
07-07,  6,    37.83,    86.17,     0.21,    36.76,    25.35,     7.10,     1.24,
07-07,  5,    35.75,    82.43,     0.19,    36.84,    25.15,     5.70,     1.39,
07-07,  4,    19.14,    36.62,     0.14,    46.08,    16.55,     4.40,     0.48,
07-07,  3,    10.71,    19.08,     0.13,    53.11,    12.85,     3.40,     0.23,
07-07,  2,     7.76,    11.85,     0.11,    57.74,    11.95,     3.10,     0.26,
07-07,  1,     7.69,    11.81,     0.11,    59.30,    13.05,     2.65,     0.14,
07-07,  0,     8.66,    16.33,     0.13,    57.85,    14.95,     3.65,     0.23,
06-07, 23,    15.64,    25.71,     0.18,    52.68,    17.35,     4.10,     0.28,
06-07, 22,    17.04,    33.40,     0.24,    52.01,    18.10,     4.40,     0.41,
06-07, 21,    17.47,    34.86,     0.23,    51.31,    18.95,     5.65,     0.40,
06-07, 20,    16.01,    35.80,     0.23,    50.63,    22.15,     5.85,     0.60,
06-07, 19,    17.90,    34.39,     0.19,    53.00,    25.20,     5.65,     0.50,
06-07, 18,    21.72,    42.99,     0.21,    51.66,    28.00,     7.10,     0.67,
06-07, 17,    34.69,    72.14,     0.29,    42.63,    32.45,     7.15,     1.16,
06-07, 16,    31.41,    77.15,     0.30,    43.31,    31.40,     6.50,     1.41,
06-07, 15,    30.80,    74.70,     0.28,    40.97,    48.05,     5.90,     1.28,
06-07, 14,    39.94,    92.32,     0.31,    33.07,    24.35,     3.80,     1.43,
06-07, 13,    41.18,    95.36,     0.29,    34.29,    22.25,     0.00,     1.45,
06-07, 12,    52.58,   119.90,     0.26,    36.11,    32.65,     3.80,     1.82,
06-07, 11,    63.88,   150.32,     0.31,    36.31,    26.15,    10.35,     2.31,
06-07, 10,    57.69,   162.78,     0.32,    32.89,    15.00,    10.05,     2.71,
06-07,  9,    71.48,   165.29,     0.27,    27.76,    14.40,     8.20,     2.67,
06-07,  8,    58.10,   159.15,     0.27,    29.79,    17.05,    10.10,     2.57,
06-07,  7,    55.65,   159.57,     0.31,    22.59,    18.80,    10.15,     3.17,
06-07,  6,    54.80,   137.09,     0.32,    21.76,    18.45,     9.60,     2.41,
06-07,  5,    30.86,    69.38,     0.19,    47.80,    12.25,     5.90,     1.28,
06-07,  4,    16.51,    31.77,     0.14,    62.21,     6.85,     5.70,     0.64,
06-07,  3,     9.27,    15.64,     0.13,    62.30,     5.05,     3.40,     0.45,
06-07,  2,     6.66,     9.07,     0.13,    75.98,     5.75,     3.90,     0.34,
06-07,  1,     6.84,     9.38,     0.13,    66.69,     2.45,     2.80,     0.31,
06-07,  0,    12.06,    19.63,     0.17,    56.36,     6.95,     5.90,     0.41,
05-07, 23,    17.67,    32.06,     0.18,    37.27,     6.20,     3.85,     0.57,
05-07, 22,    37.59,    74.07,     0.29,    22.62,    10.40,     6.65,     1.08,
05-07, 21,    26.69,    39.01,     0.21,    41.19,     9.90,     6.30,     0.48,
05-07, 20,    30.52,    48.02,     0.23,    45.53,    10.25,     7.05,     0.64,
05-07, 19,    35.86,    73.31,     0.32,    41.34,    17.90,     9.10,     1.11,
05-07, 18,    47.97,    95.43,     0.40,    41.91,    15.95,     9.10,     1.46,
05-07, 17,    63.01,   112.64,     0.37,    48.02,    17.00,    15.00,     1.35,
05-07, 16,   113.74,   271.04,     0.70,    22.74,    28.70,    13.35,     3.76,
05-07, 15,    85.93,   268.83,     0.68,    13.37,    30.10,    18.30,     4.71,
05-07, 14,    95.30,   214.65,     0.62,    31.22,    33.95,    16.30,     3.15,
05-07, 13,    76.30,   174.00,     0.41,    35.34,    39.70,    14.05,     2.68,
05-07, 12,    96.67,   257.78,     0.54,    29.84,    45.45,    14.55,     4.63,
05-07, 11,   117.71,   339.06,     0.52,    19.10,    45.50,    23.15,     6.11,
05-07, 10,    90.79,   277.16,     0.41,    18.78,    42.50,    11.65,     4.88,
05-07,  9,   107.30,   288.87,     0.41,    20.94,    43.30,    17.80,     5.13,
05-07,  8,    92.97,   345.92,     0.55,    13.15,    44.45,     6.15,     7.07,
05-07,  7,    57.51,   212.82,     0.36,    19.67,    38.15,    10.35,     4.08,
05-07,  6,    69.98,   242.45,     0.42,    12.90,    46.65,    11.00,     5.01,
05-07,  5,    82.14,   290.80,     0.53,     8.20,    52.90,    12.30,     5.96,
05-07,  4,    62.66,   123.75,     0.25,     8.97,    31.60,     9.35,     1.73,
05-07,  3,    41.99,    65.06,     0.24,    17.69,    15.35,     5.85,     0.55,
05-07,  2,    23.52,    37.82,     0.17,    33.84,    14.45,     5.15,     0.33,
05-07,  1,    23.24,    37.15,     0.20,    36.67,    14.55,     5.35,     0.33,
05-07,  0,    27.76,    47.36,     0.22,    33.93,    15.45,     6.20,     0.45,
04-07, 23,    33.47,    64.73,     0.25,    34.56,    18.75,    12.65,     0.74,
04-07, 22,    31.31,    58.88,     0.28,    38.67,    17.10,     6.00,     0.72,
04-07, 21,    38.67,    89.53,     0.36,    34.59,    20.95,     6.35,     1.38,
04-07, 20,    25.26,    50.55,     0.25,    49.02,    24.35,    10.40,     0.55,
04-07, 19,    34.48,    75.90,     0.27,    44.97,    21.25,     5.50,     1.15,
04-07, 18,    28.09,    62.94,     0.23,    50.88,    24.05,    12.55,     0.98,
04-07, 17,    33.94,    84.73,     0.27,    48.24,    22.85,    13.90,     1.41,
04-07, 16,    39.41,    96.33,     0.29,    47.01,    26.25,    17.40,     1.51,
04-07, 15,    27.88,    68.83,     0.23,    49.70,    23.65,     2.45,     1.09,
04-07, 14,    28.68,    78.10,     0.25,    46.59,    26.25,     5.50,     1.29,
04-07, 13,    31.67,    81.99,     0.27,    46.78,    29.45,     8.70,     1.38,
04-07, 12,    34.73,   105.02,     0.30,    42.40,    27.60,    13.50,     1.83,
04-07, 11,    44.34,   120.61,     0.25,    40.53,    23.05,     6.80,     2.10,
04-07, 10,    47.47,   126.50,     0.22,    39.51,    23.60,     6.50,     2.22,
04-07,  9,    37.55,   110.66,     0.22,    39.57,    23.45,    18.60,     2.10,
04-07,  8,    37.21,   102.04,     0.25,    37.98,    27.65,    10.00,     1.95,
04-07,  7,    46.89,   122.57,     0.26,    28.21,    28.15,     7.75,     2.12,
04-07,  6,    60.48,   168.19,     0.30,    14.88,    34.10,    10.95,     2.97,
04-07,  5,    55.22,   149.54,     0.26,    16.43,    28.35,    12.05,     2.74,
04-07,  4,    28.93,    61.14,     0.19,    28.04,    18.35,     7.95,     0.94,
04-07,  3,    12.58,    22.77,     0.15,    38.00,    15.20,     3.20,     0.27,
04-07,  2,    11.05,    19.19,     0.14,    38.51,    13.35,     4.35,     0.24,
04-07,  1,    13.93,    23.47,     0.17,    34.00,    15.85,     5.55,     0.35,
04-07,  0,    16.89,    34.47,     0.23,    34.64,    13.80,     6.35,     0.33,
03-07, 23,    19.47,    36.49,     0.21,    34.29,    14.25,     6.05,     0.48,
03-07, 22,    29.61,    67.30,     0.36,    29.11,    21.50,     8.55,     0.98,
03-07, 21,    41.65,    90.50,     0.32,    23.00,    19.85,     9.00,     1.28,
03-07, 20,    42.40,    96.51,     0.42,    26.96,    20.60,     9.90,     1.38,
03-07, 19,    30.45,    72.97,     0.29,    35.69,    25.45,    11.65,     1.21,
03-07, 18,    24.77,    59.93,     0.22,    44.88,    18.35,     9.30,     0.97,
03-07, 17,    25.19,    59.68,     0.27,    43.74,    14.95,     6.10,     0.85,
03-07, 16,    46.77,   132.49,     0.38,    37.59,    15.50,     8.45,     1.87,
03-07, 15,    49.14,   109.10,     0.58,    37.38,    20.20,     9.45,     1.79,
03-07, 14,    52.75,   128.06,     0.49,    31.87,    26.85,    13.00,     2.23,
03-07, 13,    28.74,    60.02,     0.22,    49.62,    18.55,     7.45,     0.95,
03-07, 12,    27.34,    54.42,     0.22,    54.31,    19.75,    12.40,     1.02,
03-07, 11,    23.64,    51.06,     0.19,    55.13,    17.60,     3.80,     0.89,
03-07, 10,    22.48,    44.76,     0.17,    58.28,    16.35,     5.00,     0.54,
03-07,  9,    19.20,    40.18,     0.19,    51.52,    15.70,     6.35,     0.68,
03-07,  8,    22.00,    41.17,     0.19,    47.70,    12.50,     6.90,     0.65,
03-07,  7,    15.02,    30.03,     0.18,    43.32,    13.95,     7.05,     0.51,
03-07,  6,    13.86,    23.01,     0.14,    44.06,    13.50,     5.75,     0.34,
03-07,  5,    25.58,    38.69,     0.16,    35.79,    16.15,     8.90,     0.48,
03-07,  4,    44.87,    83.91,     0.17,    19.37,    21.60,     8.70,     1.06,
03-07,  3,    45.89,    85.16,     0.19,    14.50,    19.40,     9.00,     1.21,
03-07,  2,    43.14,    78.08,     0.24,    20.59,    18.95,    10.05,     1.22,
03-07,  1,    36.37,    84.84,     0.30,    25.76,    21.05,     7.20,     1.36,
03-07,  0,    32.03,    75.02,     0.36,    28.41,    20.30,     6.85,     1.33,
02-07, 23,    48.83,   117.36,     0.34,    15.90,   120.50,    86.70,     2.26,
02-07, 22,    52.16,   113.20,     0.34,    13.81,    27.35,    15.40,     2.07,
02-07, 21,    51.69,   107.42,     0.31,    21.40,    21.05,    10.45,     1.52,
02-07, 20,    47.96,    96.44,     0.31,    30.23,    18.45,    11.80,     1.15,
02-07, 19,    44.87,    94.18,     0.33,    33.25,    20.75,    12.20,     1.31,
02-07, 18,    31.47,    62.15,     0.23,    45.88,    26.85,    12.65,     0.85,
02-07, 17,    31.69,    69.40,     0.26,    46.56,    25.70,    10.20,     1.05,
02-07, 16,    43.51,    92.51,     0.34,    42.21,    26.15,     8.45,     1.63,
02-07, 15,    33.51,    72.02,     0.23,    47.34,    26.85,     9.15,     0.99,
02-07, 14,    33.62,    78.30,     0.25,    46.01,    25.90,     9.45,     1.29,
02-07, 13,    32.11,    82.46,     0.26,    43.36,    26.15,     9.00,     1.18,
02-07, 12,    44.34,   104.53,     0.34,    35.76,    24.85,     9.55,     1.56,
02-07, 11,    46.80,   102.66,     0.38,    35.78,    19.25,     9.00,     1.29,
02-07, 10,    52.05,   102.73,     0.29,    36.13,    12.95,     8.40,     1.36,
02-07,  9,    34.67,    84.15,     0.27,    31.02,    11.15,    19.45,     1.26,
02-07,  8,    28.70,    66.72,     0.23,    31.47,     9.60,     4.20,     0.97,
02-07,  7,    29.08,    51.50,     0.18,    33.41,     9.35,     9.40,     0.58,
02-07,  6,    21.23,    38.98,     0.17,    34.34,     9.65,     1.00,     0.47,
02-07,  5,    17.86,    28.28,     0.16,    40.50,    13.45,    11.80,     0.09,
02-07,  4,    13.04,    17.76,     0.14,    48.03,    10.70,     6.70,     0.14,
02-07,  3,    16.96,    28.98,     0.17,    43.08,    10.80,     5.95,     0.26,
